id,updated,rating,version,author,title,content,vote_count
13379170468,2025-11-09T20:27:03-07:00,5,20.45.3,Kayvon_Edson,Youtube is for trash,I love posting trash!,0
13379166946,2025-11-09T20:25:30-07:00,1,20.45.3,Growagarden8798,Copyright,I gave it 1 star because you can only go up to 60 seconds the most 3 minutes but in TikTok it allows you to go up to what every time you want but it’s just for shorts YouTube is bad at TikTok is better for shorts and for copyright for YouTube thinks we are making fun the vids TikTok does think that they think that they love to so much they let them repost it or either post it to make followers and for them to see them selfs. Btw my TikTok name Ibrahim,0
13379161064,2025-11-09T20:22:54-07:00,5,20.45.3,"Mary, Montano",Mary,It’s really nice and I really like the shorts,0
13379144491,2025-11-09T20:15:36-07:00,5,20.45.3,Mmm0605,Love it,Cant survive without thi,0
13379127538,2025-11-09T20:08:11-07:00,1,20.45.3,thebigmilkman,Ai.. everywhere..,"I swear everything i watch is AI. From the comments, to the posts, to the shorts, to the videos. I cant find anything entertaining anymore.",0
13379122117,2025-11-09T20:05:45-07:00,5,20.45.3,kiara views,Kiara's list,One reason why i rated that because i like it. And i would watch it and every body would watch it,0
13379119283,2025-11-09T20:04:32-07:00,4,20.45.3,LAADAMS 43,I watch YouTube more than my cable,Love you tube. Sometimes the sound is low,0
13379119076,2025-11-09T20:04:25-07:00,5,20.45.3,Boh manyu,Thanks YouTube for all your support,Thanks YouTube,0
13379116285,2025-11-09T20:03:14-07:00,1,20.45.3,morgans24,😒,It won’t download and I’m very sick of it you guys should fix it.,0
13379092925,2025-11-09T19:53:15-07:00,5,20.45.3,Tsbig12,It’s just to fun I love yotube it’s my fav app❤️❤️❤️❤️❤️❤️,Love YouTube,0
13379084673,2025-11-09T19:49:44-07:00,4,20.45.3,michal is so majestic,Eh,"Tiktok better but still good, content is mid",0
13379064077,2025-11-09T19:41:05-07:00,4,20.45.3,Phistrom,Latest update breaks the like button,"I think my likes are going through, but there’s no feedback. When you press the thumbs up button it does nothing. If you close the app and open that video again it’s liked though. Weird design though. Makes me not trust the interface.",0
13379058717,2025-11-09T19:38:47-07:00,5,20.45.3,Aubrey Clayton,I LOVE U GUYSSS,"Thank u guys for everything I love watching vids on here!!,✨✌🏽",0
